Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H5,2019,2019,2019,6,1,2,Export,372,Ireland,IRL,0,World,WLD,,,,,,,,040891,"Eggs; birds' eggs (not in shell, excluding yolks only), dried, whether or not containing added sugar or other sweetening matter",8,Weight in kilograms,17350,,,,17350,,63758,,,0
H5,2019,2019,2019,6,1,1,Import,376,Israel,ISR,0,World,WLD,,,,,,,,040891,"Eggs; birds' eggs (not in shell, excluding yolks only), dried, whether or not containing added sugar or other sweetening matter",8,Weight in kilograms,107462,,,,107462,,523000,,,6
H5,2019,2019,2019,6,1,1,Import,381,Italy,ITA,0,World,WLD,,,,,,,,040891,"Eggs; birds' eggs (not in shell, excluding yolks only), dried, whether or not containing added sugar or other sweetening matter",8,Weight in kilograms,4001780,,,,4001780,,14287864,,,0
H5,2019,2019,2019,6,1,2,Export,381,Italy,ITA,0,World,WLD,,,,,,,,040891,"Eggs; birds' eggs (not in shell, excluding yolks only), dried, whether or not containing added sugar or other sweetening matter",8,Weight in kilograms,4153008,,,,4153008,,22686415,,,0
H5,2019,2019,2019,6,1,1,Import,384,Côte d'Ivoire,CIV,0,World,WLD,,,,,,,,040891,"Eggs; birds' eggs (not in shell, excluding yolks only), dried, whether or not containing added sugar or other sweetening matter",8,Weight in kilograms,1000,,,,1000,,14275,,,0
H5,2019,2019,2019,6,1,1,Import,392,Japan,JPN,0,World,WLD,,,,,,,,040891,"Eggs; birds' eggs (not in shell, excluding yolks only), dried, whether or not containing added sugar or other sweetening matter",8,Weight in kilograms,2420221,,,,2420221,,13203414,,,0
H5,2019,2019,2019,6,1,2,Export,392,Japan,JPN,0,World,WLD,,,,,,,,040891,"Eggs; birds' eggs (not in shell, excluding yolks only), dried, whether or not containing added sugar or other sweetening matter",8,Weight in kilograms,14463,,,,14463,,389953,,,0
H5,2019,2019,2019,6,1,1,Import,398,Kazakhstan,KAZ,0,World,WLD,,,,,,,,040891,"Eggs; birds' eggs (not in shell, excluding yolks only), dried, whether or not containing added sugar or other sweetening matter",8,Weight in kilograms,133377,,,,133377,,273338,,,0
H5,2019,2019,2019,6,1,2,Export,398,Kazakhstan,KAZ,0,World,WLD,,,,,,,,040891,"Eggs; birds' eggs (not in shell, excluding yolks only), dried, whether or not containing added sugar or other sweetening matter",8,Weight in kilograms,40940,,,,40940,,97975,,,0
H5,2019,2019,2019,6,1,1,Import,400,Jordan,JOR,0,World,WLD,,,,,,,,040891,"Eggs; birds' eggs (not in shell, excluding yolks only), dried, whether or not containing added sugar or other sweetening matter",8,Weight in kilograms,319920,,,,319920,,1479829,,,0
H5,2019,2019,2019,6,1,2,Export,400,Jordan,JOR,0,World,WLD,,,,,,,,040891,"Eggs; birds' eggs (not in shell, excluding yolks only), dried, whether or not containing added sugar or other sweetening matter",8,Weight in kilograms,94080,,,,94080,,385188,,,0
H5,2019,2019,2019,6,1,3,Re-Export,400,Jordan,JOR,0,World,WLD,,,,,,,,040891,"Eggs; birds' eggs (not in shell, excluding yolks only), dried, whether or not containing added sugar or other sweetening matter",8,Weight in kilograms,94080,,,,94080,,385188,,,0
H5,2019,2019,2019,6,1,1,Import,410,Rep. of Korea,KOR,0,World,WLD,,,,,,,,040891,"Eggs; birds' eggs (not in shell, excluding yolks only), dried, whether or not containing added sugar or other sweetening matter",8,Weight in kilograms,599384,,,,599384,,3315120,,,0
H5,2019,2019,2019,6,1,2,Export,410,Rep. of Korea,KOR,0,World,WLD,,,,,,,,040891,"Eggs; birds' eggs (not in shell, excluding yolks only), dried, whether or not containing added sugar or other sweetening matter",8,Weight in kilograms,720,,,,720,,32850,,,0
H5,2019,2019,2019,6,1,1,Import,428,Latvia,LVA,0,World,WLD,,,,,,,,040891,"Eggs; birds' eggs (not in shell, excluding yolks only), dried, whether or not containing added sugar or other sweetening matter",8,Weight in kilograms,146616,,,,146616,,723184,,,0
H5,2019,2019,2019,6,1,2,Export,428,Latvia,LVA,0,World,WLD,,,,,,,,040891,"Eggs; birds' eggs (not in shell, excluding yolks only), dried, whether or not containing added sugar or other sweetening matter",8,Weight in kilograms,113193,,,,113193,,431601,,,0
H5,2019,2019,2019,6,1,1,Import,440,Lithuania,LTU,0,World,WLD,,,,,,,,040891,"Eggs; birds' eggs (not in shell, excluding yolks only), dried, whether or not containing added sugar or other sweetening matter",8,Weight in kilograms,56550,,,,56550,,174700,,,0
